model,noise,alpha,d,filter,seed,conv100,slope,floor_p50,auc
quadratic,N4cal,1.215,0.291,F4,2,0,9.501170313772253,53.7648094137936,0.9461423759922437
quadratic,N4cal,1.215,0.291,F4,3,0,-11.005770836476913,38.443189601378506,1.262149595941738
quadratic,N4cal,1.215,0.291,F4,4,0,-3.573999643438962,197.18350923148532,1.6779264349185774
quadratic,N4cal,1.215,0.291,F4,5,0,5.222882438061029,38.46228545199242,1.1759036844139126
quadratic,N4cal,1.215,0.291,F4,6,0,0.18724366752853092,21.322612519108706,0.9290004279703831
quadratic,N4cal,1.215,0.291,F4,7,0,0.13056573970200866,19.45545953400655,1.1706892596809855
logistic,N3cal,1.215,0.291,F0,0,0,-0.5924772405957061,0.22436968098039997,-0.5476415759048808
logistic,N3cal,1.215,0.291,F0,1,0,1.3778113853391367,0.04990710530606317,-1.204577596697669
logistic,N3cal,1.215,0.291,F0,2,0,2.7485250995759554,0.07788997920662824,-1.2634620952138444
logistic,N3cal,1.215,0.291,F0,3,0,2.103371660541444,0.022873086774566696,-1.5016689773546419
logistic,N3cal,1.215,0.291,F0,4,0,-1.5752040628960546,0.06876220763633495,-1.0174139223958882
logistic,N3cal,1.215,0.291,F0,5,0,2.990830145312115,0.01531275877435553,-1.7924188218298145
logistic,N3cal,1.215,0.291,F0,6,0,1.786410809264875,0.027593739021667583,-1.549953697753135
logistic,N3cal,1.215,0.291,F0,7,0,3.3718099691213808,0.3079447394259218,-1.002937465121699
logistic,N3cal,1.215,0.291,F4,0,1,1.7671733433289472,0.0005295042232756053,-2.8675310760296644
logistic,N3cal,1.215,0.291,F4,1,1,-1.065614331797594,0.00042025593251760395,-2.8630095135411358
logistic,N3cal,1.215,0.291,F4,2,1,-0.2916991729969762,0.0006081785026053562,-2.78535960023038
logistic,N3cal,1.215,0.291,F4,3,1,-3.379024677962928,0.0004585172139720402,-2.819320493081969
logistic,N3cal,1.215,0.291,F4,4,1,-0.6831594376282164,0.000607371783596809,-2.8504496815606855
logistic,N3cal,1.215,0.291,F4,5,1,0.4544906021915139,0.0006110218196265828,-2.81964935689156
logistic,N3cal,1.215,0.291,F4,6,1,0.6204194250657568,0.00042242019249141426,-2.8818691806425734
logistic,N3cal,1.215,0.291,F4,7,1,0.3249940183546008,0.0003690388134317437,-2.867412554932894
logistic,N4cal,1.215,0.291,F0,0,0,-0.21052670008596436,0.28287410205400576,-0.5356673153696386
logistic,N4cal,1.215,0.291,F0,1,0,-0.04588255057282089,0.37408342783928816,-0.5083328879606399
logistic,N4cal,1.215,0.291,F0,2,0,-0.3920824957648267,0.314011727575633,-0.5120143970181228
logistic,N4cal,1.215,0.291,F0,3,0,0.5936185987781971,0.3704674766664578,-0.5168412780334933
logistic,N4cal,1.215,0.291,F0,4,0,0.005304938323390551,0.13870781437206722,-0.8042928549984999
logistic,N4cal,1.215,0.291,F0,5,0,0.22759184857906442,0.30610265192993674,-0.6167446862933615
logistic,N4cal,1.215,0.291,F0,6,0,-0.7826012663250361,0.24981997058249328,-0.5769624908433084
logistic,N4cal,1.215,0.291,F0,7,0,-0.5278025035175608,0.3297402228961686,-0.45060402415481593
logistic,N4cal,1.215,0.291,F4,0,0,-0.19720729083371585,0.2765399881187701,-0.5451622361847275
logistic,N4cal,1.215,0.291,F4,1,0,-0.05492855293301621,0.371490653110568,-0.517382682303285
logistic,N4cal,1.215,0.291,F4,2,0,-0.4156805755692449,0.3092586580117755,-0.5232523514143095
logistic,N4cal,1.215,0.291,F4,3,0,0.6741147384580544,0.3479329396219938,-0.5403624399321632
logistic,N4cal,1.215,0.291,F4,4,0,-0.044636570292126844,0.13461019299069374,-0.8134353644733325
logistic,N4cal,1.215,0.291,F4,5,0,0.4392464494500602,0.2994673424164985,-0.6443623519076491
logistic,N4cal,1.215,0.291,F4,6,0,-0.7711219129397456,0.24105821994469911,-0.595639489315725
logistic,N4cal,1.215,0.291,F4,7,0,-0.488302940085101,0.33202206541956525,-0.454340188945682
ar,N3cal,1.215,0.291,F0,0,1,2.910904890366311,0.037054863394969786,-1.3401367422062889
ar,N3cal,1.215,0.291,F0,1,1,-2.979575123874278,0.03526013924123253,-1.1104637463171128
ar,N3cal,1.215,0.291,F0,2,1,-6.485167714628158,0.042013250240167416,-1.0404340046781781
ar,N3cal,1.215,0.291,F0,3,1,-2.5226090313787943,0.03586053191100273,-1.118123975202075
ar,N3cal,1.215,0.291,F0,4,1,-8.580666206381622,0.028767657901070075,-1.2426954066465872
ar,N3cal,1.215,0.291,F0,5,1,2.606118770711475,0.03806333619419732,-1.0842404190822799
ar,N3cal,1.215,0.291,F0,6,1,-0.3383664425080675,0.0636413670085264,-1.2436139889339093
ar,N3cal,1.215,0.291,F0,7,1,5.62207336598958,0.044771751640757335,-1.2105596025421015
ar,N3cal,1.215,0.291,F4,0,1,1.472843299510206,0.0023173960107049124,-2.6374503217985077
ar,N3cal,1.215,0.291,F4,1,1,-0.7143508905067969,0.0018551896798415066,-2.601290521340023
ar,N3cal,1.215,0.291,F4,2,1,-0.30271677135580527,0.0029643240664703487,-2.579920768429539
ar,N3cal,1.215,0.291,F4,3,1,0.707170511190029,0.001783569011699489,-2.6132459863288435
ar,N3cal,1.215,0.291,F4,4,1,-0.47122312495957513,0.0019981103364272923,-2.664538056083769
ar,N3cal,1.215,0.291,F4,5,1,0.7881909089624473,0.0023091892184287366,-2.5807333899293345
ar,N3cal,1.215,0.291,F4,6,1,-0.015215826569135326,0.0018192637029917865,-2.6767826811592017
ar,N3cal,1.215,0.291,F4,7,1,-0.9109647952358301,0.002384983362875317,-2.6315749918860702
ar,N4cal,1.215,0.291,F0,0,0,4.511535785585726,6.424629996941581,0.1280374384264687
ar,N4cal,1.215,0.291,F0,1,0,-1.7400035628018595,1.3514230427434097,0.7073414465326672
ar,N4cal,1.215,0.291,F0,2,1,10.215102254703874,0.5173850729273604,0.453762011972765
ar,N4cal,1.215,0.291,F0,3,0,-3.729917325287112,0.7385638066164522,-0.10517578038208668
ar,N4cal,1.215,0.291,F0,4,0,-3.4625287360987564,0.4465178348143114,0.05430666569745671
ar,N4cal,1.215,0.291,F0,5,0,18.83139094206277,24.25528176543361,0.3237085487269314
ar,N4cal,1.215,0.291,F0,6,0,-0.8522511122119764,2.7658863642793468,0.6979739788715812
ar,N4cal,1.215,0.291,F0,7,1,3.0436101578613663,89.46158211346217,0.5310322682500459
ar,N4cal,1.215,0.291,F4,0,0,4.040736450878098,4.470091378130466,-0.038991217266919384
ar,N4cal,1.215,0.291,F4,1,0,-1.4718099440772259,1.121236952756731,0.5870956826906303
ar,N4cal,1.215,0.291,F4,2,0,8.378457059973448,0.4086373696280512,0.3140265526684279
ar,N4cal,1.215,0.291,F4,3,0,-3.6510833524944335,0.5247069631062231,-0.2704730341174216
ar,N4cal,1.215,0.291,F4,4,0,-3.5247950458508095,0.3434411377746946,-0.06883316513406675
ar,N4cal,1.215,0.291,F4,5,0,18.81865444849381,21.283539432140707,0.20286021679817623
ar,N4cal,1.215,0.291,F4,6,0,-1.3394620191270585,2.062371944678486,0.6056087512705415
ar,N4cal,1.215,0.291,F4,7,1,4.723156863866621,89.76056399506703,0.4203114646478667
